# {"arm": "left", "target_base_y": 0.086332, "hover_height_m": 0.12, "y_tolerance_m": 0.005, "grid_x_min": -0.256004, "grid_z_min": -0.321837, "recorded_at": "2026-04-14T17:39:45"}
cam_x,cam_y,cam_z,base_x,base_y,base_z,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
0.042413,-0.070144,0.421555,-0.167758,0.082030,-0.290117,2377,2488,1520,3206,2496,1994
0.043320,-0.070028,0.423183,-0.169474,0.081994,-0.289383,2377,2488,1520,3206,2496,1994
0.042823,-0.069583,0.423548,-0.169312,0.081595,-0.288756,2377,2488,1520,3206,2496,1994
0.042823,-0.069583,0.423548,-0.169312,0.081595,-0.288756,2377,2488,1520,3206,2496,1994
0.044500,-0.070471,0.431936,-0.175772,0.083005,-0.283258,2374,2488,1520,3204,2496,1994
0.046151,-0.069312,0.428462,-0.174959,0.081542,-0.286910,2370,2489,1520,3204,2502,1994
0.045274,-0.070239,0.428596,-0.174337,0.082509,-0.286340,2371,2489,1520,3204,2502,1994
0.044891,-0.069641,0.422938,-0.170570,0.081531,-0.290507,2371,2489,1520,3204,2502,1994
0.083245,-0.070476,0.431111,-0.205852,0.081460,-0.307643,2332,2652,1213,3206,2504,1994
0.083520,-0.070691,0.428007,-0.204162,0.081445,-0.310269,2330,2654,1211,3206,2504,1994
0.086457,-0.071635,0.435830,-0.211269,0.082822,-0.305992,2325,2653,1208,3206,2504,1994
0.085555,-0.071896,0.432067,-0.208244,0.082853,-0.308419,2321,2653,1208,3206,2504,1994
0.085906,-0.071893,0.432047,-0.208510,0.082835,-0.308649,2319,2653,1208,3206,2504,1994
0.087175,-0.072353,0.435832,-0.211828,0.083511,-0.306487,2317,2654,1208,3206,2504,1994
0.091958,-0.073492,0.457650,-0.228979,0.085995,-0.292349,2309,2655,1208,3206,2504,1994
0.098313,-0.071576,0.470977,-0.242200,0.084776,-0.285611,2276,2659,1208,3206,2504,1994
0.095998,-0.069904,0.459940,-0.233620,0.082423,-0.292740,2275,2659,1208,3206,2504,1994
0.095531,-0.069217,0.456713,-0.231280,0.081530,-0.294937,2277,2658,1208,3206,2504,1994
0.096003,-0.070665,0.459961,-0.233627,0.083183,-0.292786,2284,2658,1208,3206,2504,1994
0.095597,-0.071403,0.459830,-0.233217,0.083926,-0.292700,2294,2658,1208,3206,2504,1994
0.094433,-0.072500,0.459616,-0.232153,0.085048,-0.292241,2314,2658,1208,3206,2502,1994
0.090608,-0.070734,0.447345,-0.221625,0.082574,-0.299408,2325,2658,1209,3206,2499,1994
0.090463,-0.071385,0.450239,-0.223278,0.083432,-0.297095,2332,2658,1210,3206,2498,1994
0.087915,-0.070491,0.445764,-0.218532,0.082324,-0.298983,2338,2658,1212,3206,2498,1994
0.067036,-0.071471,0.409380,-0.179707,0.081549,-0.314881,2388,2642,1257,3208,2507,1994
0.060509,-0.070198,0.428312,-0.186190,0.081862,-0.295893,2388,2567,1372,3208,2506,1994
0.055921,-0.071497,0.415607,-0.174754,0.082441,-0.303177,2387,2547,1399,3208,2506,1994
0.053892,-0.072130,0.410396,-0.169946,0.082783,-0.306082,2388,2537,1414,3208,2504,1994
0.052503,-0.073689,0.411602,-0.169569,0.084476,-0.304405,2391,2528,1430,3208,2499,1994
0.049912,-0.073732,0.410751,-0.167001,0.084558,-0.303491,2393,2521,1448,3208,2499,1994
0.050321,-0.077782,0.433088,-0.180981,0.090149,-0.286496,2394,2515,1462,3208,2498,1994
0.045896,-0.073594,0.413798,-0.165703,0.084790,-0.298623,2394,2509,1477,3208,2498,1994
0.043505,-0.072130,0.409692,-0.161315,0.083134,-0.300272,2394,2502,1489,3208,2498,1994
0.041983,-0.071945,0.413398,-0.162389,0.083269,-0.296410,2394,2495,1500,3208,2497,1994
0.040282,-0.071605,0.413409,-0.161058,0.082996,-0.295333,2395,2487,1509,3208,2497,1994
0.038437,-0.070830,0.407902,-0.156231,0.081908,-0.298472,2398,2480,1516,3208,2497,1994
0.037463,-0.072494,0.414339,-0.159392,0.084056,-0.292945,2402,2475,1523,3208,2497,1994
0.036550,-0.073672,0.413544,-0.158168,0.085209,-0.293104,2405,2469,1531,3208,2497,1994
0.034875,-0.074412,0.413890,-0.157049,0.086036,-0.291864,2406,2466,1540,3208,2497,1994
0.032765,-0.073932,0.408361,-0.151996,0.085251,-0.294882,2409,2462,1548,3208,2497,1994
0.030954,-0.074095,0.409337,-0.151163,0.085552,-0.293017,2415,2459,1555,3207,2497,1994
0.025421,-0.074596,0.406639,-0.145133,0.086074,-0.291789,2430,2433,1569,3207,2497,1994
-0.004499,-0.078182,0.392512,-0.112798,0.089809,-0.284853,2480,2358,1708,3206,2496,1994
-0.005887,-0.076797,0.392222,-0.111541,0.088461,-0.284120,2482,2360,1708,3206,2496,1994
-0.006609,-0.075498,0.392758,-0.111317,0.087232,-0.283154,2482,2361,1708,3206,2496,1994
-0.007158,-0.075066,0.395898,-0.112817,0.087044,-0.280314,2482,2361,1708,3206,2496,1994
-0.006795,-0.073360,0.391050,-0.110150,0.084988,-0.284214,2482,2360,1708,3206,2496,1994
-0.006728,-0.074598,0.396591,-0.113587,0.086609,-0.279995,2481,2360,1706,3205,2496,1994
-0.006729,-0.075257,0.396623,-0.113598,0.087268,-0.280021,2480,2362,1704,3205,2496,1994
-0.006355,-0.074908,0.392586,-0.111420,0.086622,-0.283398,2479,2367,1699,3203,2496,1994
-0.005708,-0.074242,0.392484,-0.111876,0.085926,-0.283821,2477,2368,1697,3200,2496,1994
-0.004552,-0.073531,0.392319,-0.112697,0.085162,-0.284603,2476,2368,1696,3199,2495,1994
-0.002246,-0.072521,0.389921,-0.113058,0.083897,-0.287822,2475,2368,1695,3198,2495,1994
-0.001501,-0.073414,0.396022,-0.117379,0.085188,-0.283552,2474,2368,1694,3198,2494,1994
-0.000542,-0.074508,0.397819,-0.119225,0.086368,-0.282812,2474,2368,1694,3198,2494,1994
0.000123,-0.075260,0.397129,-0.119317,0.087043,-0.283822,2474,2368,1694,3198,2494,1994
0.000123,-0.075260,0.397129,-0.119317,0.087043,-0.283822,2474,2369,1694,3198,2494,1994
